id,external_id,name,her_nr,status,source_url
344,2760,KTM,2760,completed,https://www.irishautoparts.ie
345,4472,KUBA,4472,completed,https://www.irishautoparts.ie
346,2621,KYMCO,2621,completed,https://www.irishautoparts.ie
347,63,LADA,63,completed,https://www.irishautoparts.ie
348,701,LAMBORGHINI,701,completed,https://www.irishautoparts.ie
349,5130,LAMBRETTA,5130,completed,https://www.irishautoparts.ie
350,64,LANCIA,64,completed,https://www.irishautoparts.ie
20,1820,LAND ROVER,1820,completed,https://www.irishautoparts.ie
351,4282,LAND ROVER (CHERY),4282,completed,https://www.irishautoparts.ie
352,7577,LANDIAN,7577,completed,https://www.irishautoparts.ie
353,2589,LANDWIND (JMC),2589,completed,https://www.irishautoparts.ie
354,4075,LAVERDA MOTORCYCLES,4075,completed,https://www.irishautoparts.ie
355,1380,LDV,1380,completed,https://www.irishautoparts.ie
356,5201,LEAPMOTOR,5201,completed,https://www.irishautoparts.ie
357,5530,LEOPAARD,5530,completed,https://www.irishautoparts.ie
358,5499,LETIN,5499,completed,https://www.irishautoparts.ie
359,5194,LEVC,5194,completed,https://www.irishautoparts.ie
360,5068,LEXMOTO,5068,completed,https://www.irishautoparts.ie
21,842,LEXUS,842,completed,https://www.irishautoparts.ie
361,3086,LIFAN,3086,completed,https://www.irishautoparts.ie
362,1513,LIGIER,1513,completed,https://www.irishautoparts.ie
363,1200,LINCOLN,1200,completed,https://www.irishautoparts.ie
364,5069,LINGBEN,5069,completed,https://www.irishautoparts.ie
365,5746,LINGBOX,5746,completed,https://www.irishautoparts.ie
366,5181,LINKTOUR,5181,completed,https://www.irishautoparts.ie
367,6928,LINXYS,6928,completed,https://www.irishautoparts.ie
368,5155,LITE (BJEV),5155,completed,https://www.irishautoparts.ie
369,6739,LIVAN AUTO,6739,completed,https://www.irishautoparts.ie
370,6869,LIVEWIRE,6869,completed,https://www.irishautoparts.ie
371,5246,LIXIANG,5246,completed,https://www.irishautoparts.ie
372,4187,LLOYD,4187,completed,https://www.irishautoparts.ie
373,4231,LML,4231,completed,https://www.irishautoparts.ie
